comuna.id,comuna.codigo,comuna.nombre,comuna.municipio_id,comuna.uuid
183,03,KASSANGE,55,37ed6f92-719c-478d-903b-cee18346c78a
184,01,MALANJE,56,586d8dc6-a345-477c-8620-a00a47888f24
185,02,CAMBAXE,56,04035640-541c-4908-8a55-ea0a0b69891e
186,03,NGOLA-LUIGE,56,405b7c46-2a37-4214-bf48-149f6f8e97dd
187,01,CACUSO,57,e3eb8efa-3aa1-4877-b19c-e995645fe7d1
188,02,PUNGO-ANDONGO,57,7c5ffec6-5836-407b-9573-ecdc085e2d64
189,03,LOMBE,57,762c626f-5de2-466c-bde7-9b5a32221306
190,04,QUIZENGA,57,5af8e841-906d-400e-9e0c-2613c5966f42
191,05,SOQUECO,57,1994da38-ca25-4c86-8f30-9629da2b2f29
192,01,CALANDULA,58,2d8984ca-a854-44c7-a770-2088822503a7
193,02,KATECO-KANGOLA,58,1a6d63f3-ce8c-4348-a3a9-0ff8160718e5
194,03,CUALE,58,88b8a9de-593d-4726-898c-1dbda3e3d341
195,04,KOTA,58,2d3bdf6d-f80d-4545-99d3-46d6d7e7b51d
196,05,KINGE,58,1193a370-aec9-4199-8b25-1ea43205f9ac
197,01,CAMBUNDI-CATEMBO,59,9fb0fe82-d027-4454-ae49-0dccf3889af4
198,02,TALA-MUNGONGO,59,ac53393b-8f03-4e28-a54a-80dfd3397d1d
199,03,DUMBA KABANGO,59,4c83fd59-7b59-49f5-b1ca-ecd1e34915b4
200,04,KITAPA-SEDE,59,770c6f4e-3b02-420b-8fce-4768d521ecc5
201,01,QUELA,60,2e6ded31-0058-4a8f-85d8-507aef6a9e22
202,02,XANDELE,60,c05d19df-e9af-4a3d-b5a9-47ba530e4ad8
203,03,MOMA,60,15f0694a-d011-4520-a6be-3859fa9a3e00
204,04,BANGÂLAS,60,9d26cadd-1bcd-4151-8302-47353cc9af90
205,01,KAHOMBO,61,c9ec9f34-48bb-4357-b114-64ea105d1c24
206,02,MIKANDA,61,25449cc7-8e8b-40b0-876e-b1c7d556c1ac
207,03,KAMBO-SUINGINGE,61,d5e12c33-6d6b-4063-9c0f-a1b921047c8b
208,04,BANGE-ANGOLA,61,c4b25037-f0d2-47c8-8bbc-96fcdd8ef2f3
209,01,MASSANGO,62,e42f414b-9f75-48d8-90d1-1cc733ab471c
210,02,KIHUHU,62,9426753b-d7ba-4967-aed2-80e60fd4dac6
211,03,KINGUENGUE,62,7ccb92c5-c4f8-4122-8dd8-3b11bbaba58e
212,01,LUQUEMBO,63,14e3fc77-67a1-4ae4-ac6c-557cb07f9cad
213,02,KIMBANGO,63,b1141335-3093-4c7b-822c-666aa0796b7e
214,03,DOMBO,63,109b2505-8d70-4842-a2d3-779ca5801e50
215,04,KAPUNDA,63,cd2d7c10-280d-45e5-bede-82b79a2affa5
216,05,CUNGA-PALANCA,63,f27bcda1-3cfd-4c0f-87fd-b0d7188062c1
217,06,RIMBA,63,bc136985-bf23-4eb3-9ad3-afd22fb308e5
218,01,MARIMBA,64,bd31f28d-f569-4c33-a7a7-25effe965a6b
219,02,DALA-SAMBA (KAHOMBO),64,05eb602d-481e-4ef9-ab05-e0b3e56bd75f
220,03,TEMBO-ALUMA,64,91110da0-6a30-4ae9-ae06-d1200885f86e
221,01,KUNDA-DÍA-BAZE,65,c9d40539-e1aa-48ce-b08d-cbdafc44bee6
222,02,MILANDO,65,7be5bb66-51ec-448c-9150-a1054fa5b593
223,03,LEMBA,65,b13452b0-f461-4afe-a0b3-f983e84e54a6
224,01,KIRIMA,66,1d7544e3-500a-4ac5-a4fd-7b645594bcac
225,02,SAUTAR,66,eeb287b5-94f4-4fad-a18e-d1dfb6c92adf
226,01,MUCARI (CACULAMA),67,d85f20f4-6e5e-42ab-a828-ad5600a73cfe
227,02,MUQUIXI,67,5a3d940a-00cf-41f8-af49-c69400af2ff7
228,03,CATALA,67,afe01f6a-82df-4149-ba22-93b1ada1c31f
229,04,CAXINGA,67,c7b403da-c9ef-44ba-8ddd-61621d5dce89
230,01,CANGANDALA,68,159b151e-5457-41b9-b62d-5a1935d4fdbd
231,02,CARIBO,68,4c21aef7-e783-4fdf-b445-5b09b58250b1
232,03,MBEMDO,68,a45113ed-2a39-4c81-a6b8-6023af7a9fa8
233,04,KULAMAGIA,68,b2dbbff5-8cd0-42e4-b6d7-3bbbd5344f1d
234,01,KIWABA-NZOGI,69,02ddd799-5c4b-4ebb-bf11-1a220e2c769d
235,02,MUFAMA,69,2ea980ce-cc13-4768-8d2b-a36afcafade7
236,01,LUCAPA,70,b9564c00-4019-4a5e-83fa-90829c807cef
237,02,CAMISSOMBO,70,b97a8d0b-5a2d-4fe6-bd78-1a54eac23e11
238,03,CAPAIA,70,436ed354-35cb-4f50-940b-edb5b24a235c
239,04,XA-CASSAU,70,615104d6-38cf-4698-ae54-3edbaf3c9be8
240,01,CAMBULO,71,b68a5dae-7508-4a61-ab89-fae5bcb4e4cd
241,02,CANZAR,71,09275854-bc8f-469b-b1b2-8a5e80122a65
242,03,CACHIMO,71,1188ada9-43bd-4b1c-b1fe-dec7c5bd154b
243,04,LUIA,71,22a33404-d048-40b7-9f63-02ef77c96c9e
244,01,CHITATO,72,535e61fa-7950-4595-9549-8d3ab62c73ad
245,02,LÓVUA,72,74af6bf8-80f7-41ff-99af-e82d3cda2abf
246,03,LUACHIMO (CIDADE DO DUNDO),72,b7a0abcf-7fd8-4d31-b4bd-906c04c6072e
247,01,CUILO,73,116e2ea5-8b62-483d-8dda-9962dd0d6724
248,02,CALUANGO,73,997606ca-fb26-4122-815a-aa0d4b0ea4f7
